Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
IND,2012-01-01,2012-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2012,2012,km,2,X,
IND,2013-01-01,2013-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2013,2013,km,2,X,
IND,2014-01-01,2014-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2014,2014,km,2,X,
IND,2015-01-01,2015-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2015,2015,km,2,X,
IND,2016-01-01,2016-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2016,2016,km,2,X,
IND,2017-01-01,2017-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2017,2017,km,2,X,
IND,2018-01-01,2018-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2018,2018,km,2.1,X,
IND,2019-01-01,2019-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2019,2019,km,2.1,X,
IND,2020-01-01,2020-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2020,2020,km,2.1,X,
IND,2021-01-01,2021-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2021,2021,km,2.1,X,
IND,2000-01-01,2000-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2000,2000,Int$/cap,3100,X,
IND,2001-01-01,2001-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2001,2001,Int$/cap,3189,X,
IND,2002-01-01,2002-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2002,2002,Int$/cap,3251,X,
IND,2003-01-01,2003-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2003,2003,Int$/cap,3446,X,
IND,2004-01-01,2004-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2004,2004,Int$/cap,3656,X,
IND,2005-01-01,2005-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2005,2005,Int$/cap,3882,X,
IND,2006-01-01,2006-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2006,2006,Int$/cap,4130,X,
IND,2007-01-01,2007-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2007,2007,Int$/cap,4380,X,
IND,2008-01-01,2008-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2008,2008,Int$/cap,4450,X,
IND,2009-01-01,2009-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2009,2009,Int$/cap,4731,X,
IND,2010-01-01,2010-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2010,2010,Int$/cap,5059,X,
IND,2011-01-01,2011-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2011,2011,Int$/cap,5250,X,
IND,2012-01-01,2012-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2012,2012,Int$/cap,5460,X,
IND,2013-01-01,2013-12-31,100,'356,India,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2013,2013,Int$/cap,5732,X,
